id,titulo,autor,precio,idEditorial
1,Don Quijote,Miguel de Cervantes,3147.79,5
2,Historia de dos ciudades,Charles Dickens,2940.19,3
3,El senor de los anillos,J. R. R. Tolkien,1428.2,5
4,Harry Potter y la piedra filosofal,J.K. Rowling,1232.47,3
5,El princpito,Antoine de Saint-Exupery,658.94,3
6,El hobbit,J. R. R. Tolkien,2259.32,3
7,Sueno en el pabellon de rojo,Cao Xueqin,3393.87,4
8,Triple Representatividad,Jiang Zemin,166.97,2
9,Diez negritos,Agatha Christie,3149.07,1
10,Las aventuras de Alicia en el pais de las maravillas,Lewis Carroll,2053.82,6
11,El codigo Da Vinci,Dan Brown,121.41,2
12,Ella,Henry Rider Haggard,1956.88,2
13,Among Us. Diario de un impostor cobarde: Narrativa,Javier Munoz Ruiz,3107.95,4
14,El alquimista,Paulo Coelho,3579.21,1
15,One Piece,Eiichiro Oda,3046.96,2

